order_id,order_date,order_time,num_drinks,total_cost,drink1,drink2,drink3,drink4,drink5,drink6,drink7,drink8,drink9,drink10
10000001,2022-10-01,11:02:26,1,5,0005,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000002,2022-10-01,11:07:33,6,29,0038,0004,0033,0014,0003,0006,0000,0000,0000,0000
10000003,2022-10-01,11:12:00,2,10,0016,0006,0000,0000,0000,0000,0000,0000,0000,0000
10000004,2022-10-01,11:17:28,1,4,0037,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000005,2022-10-01,11:18:43,10,47,0004,0037,0038,0026,0004,0015,0003,0036,0009,0019
10000006,2022-10-01,11:22:53,9,42,0008,0037,0020,0036,0044,0012,0007,0038,0037,0000
10000007,2022-10-01,11:25:17,2,10,0036,0046,0000,0000,0000,0000,0000,0000,0000,0000
10000008,2022-10-01,11:26:54,1,5,0040,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000009,2022-10-01,11:29:26,9,43,0028,0021,0030,0038,0030,0024,0020,0016,0012,0000
10000010,2022-10-01,11:31:32,10,45,0020,0034,0032,0022,0029,0019,0039,0005,0008,0033
10000011,2022-10-01,11:35:43,6,30,0010,0032,0027,0003,0043,0005,0000,0000,0000,0000
10000012,2022-10-01,11:41:20,6,29,0022,0045,0023,0039,0032,0038,0000,0000,0000,0000
10000013,2022-10-01,11:45:25,2,9,0018,0031,0000,0000,0000,0000,0000,0000,0000,0000
10000014,2022-10-01,11:46:29,5,24,0042,0037,0044,0029,0019,0000,0000,0000,0000,0000
10000015,2022-10-01,11:51:26,6,29,0002,0030,0023,0011,0040,0008,0000,0000,0000,0000
10000016,2022-10-01,11:55:30,4,19,0019,0009,0016,0026,0000,0000,0000,0000,0000,0000
10000017,2022-10-01,12:00:29,8,38,0006,0011,0029,0026,0036,0018,0009,0028,0000,0000
10000018,2022-10-01,12:05:47,7,35,0023,0044,0025,0015,0010,0006,0012,0000,0000,0000
10000019,2022-10-01,12:08:02,4,20,0001,0032,0038,0012,0000,0000,0000,0000,0000,0000
10000020,2022-10-01,12:11:21,1,5,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000021,2022-10-01,12:15:56,6,28,0040,0037,0021,0009,0045,0033,0000,0000,0000,0000
10000022,2022-10-01,12:21:38,1,5,0030,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000023,2022-10-01,12:27:04,7,35,0026,0026,0007,0031,0041,0026,0004,0000,0000,0000
10000024,2022-10-01,12:29:09,4,19,0029,0011,0008,0022,0000,0000,0000,0000,0000,0000
10000025,2022-10-01,12:34:13,2,9,0001,0037,0000,0000,0000,0000,0000,0000,0000,0000
10000026,2022-10-01,12:36:48,2,10,0024,0040,0000,0000,0000,0000,0000,0000,0000,0000
10000027,2022-10-01,12:37:53,4,20,0040,0025,0010,0041,0000,0000,0000,0000,0000,0000
10000028,2022-10-01,12:41:16,10,49,0024,0031,0008,0008,0032,0030,0031,0031,0020,0006
10000029,2022-10-01,12:43:23,6,30,0017,0031,0045,0011,0034,0002,0000,0000,0000,0000
10000030,2022-10-01,12:45:57,6,28,0010,0045,0035,0002,0034,0020,0000,0000,0000,0000
10000031,2022-10-01,12:47:42,5,23,0034,0024,0011,0023,0015,0000,0000,0000,0000,0000
10000032,2022-10-01,12:53:17,9,44,0022,0041,0015,0040,0013,0016,0026,0015,0013,0000
10000033,2022-10-01,12:58:49,6,29,0002,0002,0018,0031,0017,0013,0000,0000,0000,0000
10000034,2022-10-01,13:04:12,8,39,0023,0024,0006,0015,0007,0015,0031,0013,0000,0000
10000035,2022-10-01,13:07:26,8,39,0040,0040,0001,0031,0042,0023,0042,0006,0000,0000
10000036,2022-10-01,13:09:25,7,35,0046,0013,0031,0012,0028,0041,0022,0000,0000,0000
10000037,2022-10-01,13:11:17,7,35,0030,0026,0006,0011,0011,0009,0002,0000,0000,0000
10000038,2022-10-01,13:13:55,8,39,0042,0010,0040,0039,0031,0043,0023,0010,0000,0000
10000039,2022-10-01,13:19:31,3,15,0002,0001,0042,0000,0000,0000,0000,0000,0000,0000
10000040,2022-10-01,13:21:05,3,15,0028,0013,0014,0000,0000,0000,0000,0000,0000,0000
10000041,2022-10-01,13:22:22,4,18,0019,0033,0016,0038,0000,0000,0000,0000,0000,0000
10000042,2022-10-01,13:25:39,9,43,0027,0009,0004,0023,0030,0043,0038,0034,0027,0000
10000043,2022-10-01,13:30:48,9,43,0010,0034,0033,0002,0029,0012,0039,0001,0010,0000
10000044,2022-10-01,13:32:58,8,37,0040,0008,0036,0004,0021,0044,0034,0034,0000,0000
10000045,2022-10-01,13:38:29,2,9,0036,0004,0000,0000,0000,0000,0000,0000,0000,0000
10000046,2022-10-01,13:40:42,5,23,0003,0007,0033,0029,0036,0000,0000,0000,0000,0000
10000047,2022-10-01,13:42:31,2,9,0029,0021,0000,0000,0000,0000,0000,0000,0000,0000
10000048,2022-10-01,13:48:04,10,46,0033,0013,0045,0018,0029,0033,0035,0031,0033,0016
10000049,2022-10-01,13:54:01,5,24,0036,0013,0029,0009,0027,0000,0000,0000,0000,0000
10000050,2022-10-01,13:55:27,8,39,0021,0005,0043,0016,0028,0005,0014,0043,0000,0000
10000051,2022-10-01,13:59:18,2,11,0010,0046,0000,0000,0000,0000,0000,0000,0000,0000
